hotelName,url,coordinates,score,description,city,longitude,latitude
Carcassonne Townhouse,https://www.booking.com/hotel/fr/carcassonne-townhouse.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=12&hpos=12&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.356905,43.209841"," 9,5 ","Proposant un service de prêt de vélos, le Carcassonne Townhouse est situé à 1,1 km de la Cité Médiévale et à 800 mètres de la place Carnot ainsi que des boutiques et des restaurants. ",Carcassonne,2.356905,43.209841
Gîtes Les 3 Tours 2,https://www.booking.com/hotel/fr/gites-les-3-tours-2.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.365045,43.209431"," 9,6 ","Situé à Carcassonne, à 1,2 km de la Maison des Mémoires, l'établissement Gîtes Les 3 Tours 2 propose des hébergements avec une terrasse, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. ",Carcassonne,2.365045,43.209431
B&B Les chambres d'Aimé,https://www.booking.com/hotel/fr/les-chambres-d-39-aime.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=14&hpos=14&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.34989530000007,43.21183"," 9,5 ","Doté d'une connexion Wi-Fi gratuite, l'établissement Les chambres d'Aimé est une maison datant du XIXe siècle entièrement restaurée située à Carcassonne, à 20 minutes de marche de la Cité de...",Carcassonne,2.34989530000007,43.21183
Carcassonne Guesthouse,https://www.booking.com/hotel/fr/carcassonne-guesthouse.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.35533624887466,43.2086936385093"," 9,5 ","Le Carcassonne Guesthouse est une chambre d'hôtes située à Carcassonne, sur l'Aude, à seulement 10 minutes à pied de la cité fortifiée. ",Carcassonne,2.35533624887466,43.2086936385093
Chambres d'hôtes Les Palmiers de la Cité,https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-palmiers-de-la-cita-c.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=16&hpos=16&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.35883519053459,43.2052559754791"," 9,4 ","Niché sur un jardin de 2 500m², l'établissement Chambres d'hôtes Les Palmiers de la Cité se trouve à 300 mètres de la ville fortifiée de Carcassonne. ",Carcassonne,2.35883519053459,43.2052559754791
B&B-Les Balcons de Maragon,https://www.booking.com/hotel/fr/les-balcons-d-39-auriac-cazilhac.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.345639,43.18709"," 9,4 ","Situé à Carcassonne, le B&B-Les Balcons de Maragon propose 2 chambres et une piscine extérieure, à 3 km d'une ville fortifiée médiévale et à 500 mètres du parcours de golf de Carcassonne. ",Carcassonne,2.345639,43.18709
Carnot Chic,https://www.booking.com/hotel/fr/carnot-chic.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=18&hpos=18&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.351097,43.213524"," 9,6 ","Le Carnot Chic est situé à Carcassonne, à 100 mètres du Mémorial (Maison des Mémoires) et à 1 km de la cathédrale, dans une région où vous pourrez faire de la randonnée. ",Carcassonne,2.351097,43.213524
La Caponnière,https://www.booking.com/hotel/fr/la-caponniere.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.3612687687172,43.2069004"," 9,5 ","La maison de vacances La Caponnière vous accueille au pied des remparts de Carcassonne, à seulement 30 minutes en voiture de Montolieu et à 45 minutes de route de la plage. ",Carcassonne,2.3612687687172,43.2069004
Sous les courtines,https://www.booking.com/hotel/fr/sous-les-courtines.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.36041128635145,43.2048223184628"," 9,4 ","Doté d'un jardin de 700 m² et d'un barbecue, l'établissement Sous les courtines est situé à Carcassonne, à 100 mètres des remparts de la ville. ",Carcassonne,2.36041128635145,43.2048223184628
Gîte les 3 tours 1e étage,https://www.booking.com/hotel/fr/gite-les-3-tours-1e-etage.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9jYXJjYXNzb25uZUgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgCz5PLigbAAgHSAiRmMzkxYWZmYy1iYjUyLTRmNjAtYWFiZS01OGUzMzU1OGQwZTXYAgTgAgE&sid=874bbcb67c870fdf3c335b0ebfaa55d2&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&sr_order=bayesian_review_score&srepoch=1632815568&srpvid=dd6737679d470040&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"2.365045,43.209431"," 9,7 ","Le Gîte les 3 tours 1e étage est un hébergement situé à Carcassonne, à 1,1 km de la cathédrale et à 2,9 km de l'IUT de Perpignan. ",Carcassonne,2.365045,43.209431
