hotelName,url,coordinates,score,description,longitude,latitude,City,PopAvg5d,TempAvg5d
Auberge des crêtes,https://www.booking.com/hotel/fr/auberge-des-cretes.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.35586176582342,43.779851249664"," 7,1 ","Situé à La Palud-sur-Verdon, dans le parc naturel des gorges du Verdon, l'établissement Auberge des crêtes dispose d'un jardin, d'une terrasse et d'un salon commun. ",6.35586176582342,43.779851249664,Gorges du Verdon,0.15,29.06
Hotel & Spa des Gorges du Verdon,https://www.booking.com/hotel/fr/hotel-spa-des-gorges-du-verdon.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.34465277194977,43.7753334280775"," 8,2 ",L'Hôtel & Spa des Gorges du Verdon est situé à La Palud au cœur du grand canyon du Verdon. Des vues panoramiques peuvent être appréciées depuis les terrasses. ,6.34465277194977,43.7753334280775,Gorges du Verdon,0.15,29.06
Camping à la Ferme de Bourras,https://www.booking.com/hotel/fr/camping-a-la-ferme-de-bourras.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.35027342475951,43.7824741690081"," 8,9 ","Situé à La Palud-sur-Verdon, le Camping à la Ferme de Bourras propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon. ",6.35027342475951,43.7824741690081,Gorges du Verdon,0.15,29.06
Auberge Cozy&Family,https://www.booking.com/hotel/fr/auberge-cozy-and-family.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.34172102278014,43.7754627500206"," 7,7 ","Installée à La Palud-sur-Verdon, l’Auberge Cozy&Family vous propose un restaurant, un salon commun et un jardin. Des chambres familiales sont disponibles dans cette auberge de jeunesse. ",6.34172102278014,43.7754627500206,Gorges du Verdon,0.15,29.06
Véritable mas provençal guest-house,https://www.booking.com/hotel/fr/veritable-mas-provencal.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.348070608398,43.782838917621"," 9,4 ","Situé à La Palud sur Verdon, en Provence-Alpes-Côte d'Azur, le Véritable mas provençal guest-house dispose d'une terrasse et offre une vue sur la montagne. ",6.348070608398,43.782838917621,Gorges du Verdon,0.15,29.06
La Bastide de Queyran Guesthouse,https://www.booking.com/hotel/fr/la-bastide-de-queyran.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.347986355405,43.782919063418",,"Situé à La Palud sur Verdon, en Provence-Alpes-Côte d'Azur, l'établissement La Bastide de Queyran Guesthouse dispose d'une terrasse et offre une vue sur le jardin. ",6.347986355405,43.782919063418,Gorges du Verdon,0.15,29.06
Le Provence,https://www.booking.com/hotel/fr/le-provence-la-palud1.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.34123349193032,43.7789801225029"," 7,9 ","Situé à La Palud, Le Provence propose un jardin, un bar et un restaurant servant des grillades au barbecue. La connexion Wi-Fi est gratuite. ",6.34123349193032,43.7789801225029,Gorges du Verdon,0.15,29.06
Auberge du Point Sublime,https://www.booking.com/hotel/fr/auberge-du-point-sublime.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.39857,43.794304"," 8,0 ","Située à Rougon, l'Auberge du Point Sublime propose un restaurant, un bar, un salon commun et un jardin. Vous profiterez gratuitement d'une connexion Wi-Fi et d'un parking privé. ",6.39857,43.794304,Gorges du Verdon,0.15,29.06
Hotel Le Panoramic,https://www.booking.com/hotel/fr/le-panoramic-la-palud.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.33275880639042,43.7750227293794"," 7,8 ","Installé à 700 mètres du village de la Palud-sur-Verdon, l’Hotel Le Panoramic vous propose des chambres au sein d’un domaine de 4 hectares, au cœur du parc naturel régional du Verdon. ",6.33275880639042,43.7750227293794,Gorges du Verdon,0.15,29.06
Hotel Grand Canyon du Verdon,https://www.booking.com/hotel/fr/grand-canyon-du-verdon.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.32130258789061,43.7506207468126"," 7,6 ","L'Hotel Grand Canyon du Verdon se situe à 15 km du centre-ville d'Aiguines, au cœur des Gorges du Verdon, l'un des plus beaux canyons d'Europe. ",6.32130258789061,43.7506207468126,Gorges du Verdon,0.15,29.06
Château de Trigance,https://www.booking.com/hotel/fr/chateau-de-trigance.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=12&hpos=12&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.44408226013184,43.7619279500658"," 9,1 ",Le Château de Trigance est situé dans le village provençal de Trigance. ,6.44408226013184,43.7619279500658,Gorges du Verdon,0.15,29.06
Huttopia Gorges du Verdon,https://www.booking.com/hotel/fr/huttopia-gorges-du-verdon.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.43164431996411,43.8225167024005"," 6,9 ","Situé à Castellane, l'Huttopia Gorges Le Verdon propose un hébergement avec une piscine extérieure, un restaurant et un bar. ",6.43164431996411,43.8225167024005,Gorges du Verdon,0.15,29.06
Maison Chasteuil,https://www.booking.com/hotel/fr/maison-chasteuil.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=14&hpos=14&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.421987763229,43.836968949428"," 9,5 ","Située à Castellane, en Provence-Alpes-Côte d'Azur, la Maison Chasteuil dispose d'une terrasse et offre une vue sur la montagne. Vous séjournerez à 39 km de Moustiers-Sainte-Marie. ",6.421987763229,43.836968949428,Gorges du Verdon,0.15,29.06
Le Vieux Château,https://www.booking.com/hotel/fr/du-vieux-chateau.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.24333876369747,43.7755910100654"," 7,3 ","Situé dans le centre d'Aiguines, l'Hôtel du Vieux Château est installé dans un bâtiment datant du XVIIIe siècle lequel s'ouvre sur une place de style provençal avec des bars et commerces. ",6.24333876369747,43.7755910100654,Gorges du Verdon,0.15,29.06
Provence-Verdon,https://www.booking.com/hotel/fr/provence-verdon-aiguines.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=16&hpos=16&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.243253851682,43.776350458974"," 7,4 ","Situé à Aiguines, à 35 km de Digne-les-Bains, le Provence-Verdon propose un barbecue et une connexion Wi-Fi gratuite. ",6.243253851682,43.776350458974,Gorges du Verdon,0.15,29.06
La Bastide des Cades,https://www.booking.com/hotel/fr/la-bastide-des-cades-aiguines.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.24165929853916,43.7625642987998"," 8,9 ","Situé à Aiguines, à 43 km de Forcalquier, l'établissement La Bastide des Cades propose une piscine extérieure ouverte en saison et une connexion Wi-Fi gratuite. ",6.24165929853916,43.7625642987998,Gorges du Verdon,0.15,29.06
Altitude 823,https://www.booking.com/hotel/fr/logis-altitude-823.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=18&hpos=18&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.24252310375596,43.7763307442883"," 8,3 ","Situé dans le village d'Aiguines, au cœur du parc national du Verdon, l'établissement Altitude 823 offre une vue sur le lac de Sainte-Croix, où vous aurez la possibilité de faire du canoë-kayak et de...",6.24252310375596,43.7763307442883,Gorges du Verdon,0.15,29.06
Cozy Holiday Home in Aiguines with Garden,https://www.booking.com/hotel/fr/maison-de-vacances-aiguines.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.239917,43.779133"," 8,5 ","Situé à Aiguines, le Cozy Holiday Home in Aiguines with Garden propose un jardin, des installations de sports nautiques et un barbecue. ",6.239917,43.779133,Gorges du Verdon,0.15,29.06
Chambre d'hotes - Ferme de Chanteraine,https://www.booking.com/hotel/fr/chambre-d-39-hotes-ferme-de-chanteraine.fr.html?label=gen173nr-1DCAQoggJCFXNlYXJjaF9nb3JnZXNkdXZlcmRvbkgNWARoFYgBAZgBDbgBGMgBDdgBA-gBAfgBA4gCAagCBLgC2dKnigbAAgHSAiQyZWM1NjNjNS1mYzRmLTRkNDgtYmUzYS0xZWMxOTg3ZGYzZTfYAgTgAgE&sid=85692e8a99636962b8ed5dcc0b11504b&dest_type=latlong&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&sr_order=distance_from_search&srepoch=1632233817&srpvid=96be646c30dc014e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,"6.2380108577637,43.771124853782"," 8,0 ","Située à Aiguines, à 48 km de Draguignan, la Chambre d'hotes - Ferme de Chanteraine dispose d'une terrasse et d'une connexion Wi-Fi gratuite. ",6.2380108577637,43.771124853782,Gorges du Verdon,0.15,29.06
